Stock Name,Stock Code,Date,Open,Close,High,Low,Volume,Turnover,Amplitude,Change Percent,Change Amount,Turnover Rate
贵州茅台,600519,2002-09-09,-159.35,-159.4,-159.34,-159.41,2614,7873842.0,-0.04,-0.04,-0.06,0.33
贵州茅台,600519,2002-09-10,-159.41,-159.5,-159.39,-159.53,8057,23941530.0,-0.09,-0.06,-0.1,1.02
贵州茅台,600519,2002-09-11,-159.53,-159.61,-159.5,-159.72,9845,28552916.0,-0.14,-0.07,-0.11,1.25
贵州茅台,600519,2002-09-12,-159.63,-159.62,-159.58,-159.68,1717,4984486.0,-0.06,-0.01,-0.01,0.22
贵州茅台,600519,2002-09-13,-159.63,-159.6,-159.59,-159.65,1072,3119148.0,-0.04,0.01,0.02,0.14
贵州茅台,600519,2002-09-16,-159.61,-159.7,-159.59,-159.7,3924,11280816.0,-0.07,-0.06,-0.1,0.5
贵州茅台,600519,2002-09-17,-159.69,-159.65,-159.61,-159.71,2613,7538521.0,-0.06,0.03,0.05,0.33
贵州茅台,600519,2002-09-18,-159.63,-159.66,-159.63,-159.69,1616,4660761.0,-0.04,-0.01,-0.01,0.21
贵州茅台,600519,2002-09-19,-159.67,-159.63,-159.6,-159.73,3650,10478770.0,-0.08,0.02,0.03,0.46
贵州茅台,600519,2002-09-20,-159.64,-159.69,-159.64,-159.7,1373,3949578.0,-0.04,-0.04,-0.06,0.17
贵州茅台,600519,2002-09-23,-159.7,-159.76,-159.69,-159.76,2121,6061634.0,-0.04,-0.04,-0.07,0.27
贵州茅台,600519,2002-09-24,-159.76,-159.85,-159.76,-159.87,7149,20063143.0,-0.07,-0.06,-0.09,0.91
贵州茅台,600519,2002-09-25,-159.85,-159.78,-159.73,-159.85,3557,10075783.0,-0.08,0.04,0.07,0.45
贵州茅台,600519,2002-09-26,-159.77,-159.84,-159.77,-159.85,2168,6093149.0,-0.05,-0.04,-0.06,0.28
贵州茅台,600519,2002-09-27,-159.82,-159.81,-159.77,-159.85,1505,4234851.0,-0.05,0.02,0.03,0.19
贵州茅台,600519,2002-10-08,-159.82,-159.83,-159.82,-159.87,3590,10069826.0,-0.03,-0.01,-0.02,0.46
贵州茅台,600519,2002-10-09,-159.85,-159.91,-159.84,-159.94,2459,6822147.0,-0.06,-0.05,-0.08,0.31
贵州茅台,600519,2002-10-10,-159.92,-159.9,-159.84,-159.93,1088,3018141.0,-0.06,0.01,0.01,0.14
贵州茅台,600519,2002-10-11,-159.92,-159.94,-159.87,-159.96,1217,3366265.0,-0.06,-0.03,-0.04,0.15
贵州茅台,600519,2002-10-14,-159.87,-159.93,-159.87,-159.96,1095,3024408.0,-0.06,0.01,0.01,0.14
贵州茅台,600519,2002-10-15,-159.94,-159.9,-159.9,-159.95,2066,5710573.0,-0.03,0.02,0.03,0.26
贵州茅台,600519,2002-10-16,-159.9,-159.87,-159.81,-159.9,2261,6327939.0,-0.06,0.02,0.03,0.29
贵州茅台,600519,2002-10-17,-159.87,-159.94,-159.85,-159.96,1565,4336014.0,-0.07,-0.04,-0.07,0.2
贵州茅台,600519,2002-10-18,-159.96,-160.11,-159.92,-160.17,4635,12464187.0,-0.16,-0.11,-0.17,0.59
贵州茅台,600519,2002-10-21,-160.11,-160.1,-160.01,-160.17,1646,4391499.0,-0.1,0.01,0.01,0.21
贵州茅台,600519,2002-10-22,-160.08,-159.99,-159.95,-160.09,2106,5735513.0,-0.09,0.07,0.11,0.27
贵州茅台,600519,2002-10-23,-159.97,-160.04,-159.97,-160.06,1081,2938025.0,-0.06,-0.03,-0.05,0.14
贵州茅台,600519,2002-10-24,-160.05,-160.04,-159.99,-160.05,971,2637743.0,-0.04,0.0,0.0,0.12
贵州茅台,600519,2002-10-25,-160.04,-160.15,-160.04,-160.16,2368,6346386.0,-0.07,-0.07,-0.11,0.3
贵州茅台,600519,2002-10-28,-160.16,-160.3,-160.16,-160.31,4472,11679872.0,-0.09,-0.09,-0.15,0.57
贵州茅台,600519,2002-10-29,-160.18,-160.24,-160.18,-160.37,3199,8294858.0,-0.12,0.04,0.06,0.41
贵州茅台,600519,2002-10-30,-160.23,-160.28,-160.22,-160.3,2036,5323624.0,-0.05,-0.02,-0.04,0.26
贵州茅台,600519,2002-10-31,-160.28,-160.27,-160.18,-160.29,2817,7375701.0,-0.07,0.01,0.01,0.36
